movieId,title,genres,year,Action,Adventure,Animation,Children,Comedy,Crime,Documentary,Drama,Fantasy,Film-Noir,Horror,Musical,Mystery,Romance,Sci-Fi,Thriller,War,Western
1,Toy Story,Adventure|Animation|Children|Comedy|Fantasy,1995,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0
2,Jumanji,Adventure|Children|Fantasy,1995,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
3,Grumpier Old Men,Comedy|Romance,1995,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
5,Father of the Bride Part II,Comedy,1995,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
6,Heat,Action|Crime|Thriller,1995,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
7,Sabrina,Comedy|Romance,1995,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
10,GoldenEye,Action|Adventure|Thriller,1995,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
11,"American President, The",Comedy|Drama|Romance,1995,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0
16,Casino,Crime|Drama,1995,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
17,Sense and Sensibility,Drama|Romance,1995,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
19,Ace Ventura: When Nature Calls,Comedy,1995,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
21,Get Shorty,Comedy|Crime|Thriller,1995,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0
22,Copycat,Crime|Drama|Horror|Mystery|Thriller,1995,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,1,0,0
24,Powder,Drama|Sci-Fi,1995,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
25,Leaving Las Vegas,Drama|Romance,1995,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
29,"City of Lost Children, The (Cité des enfants perdus, La)",Adventure|Drama|Fantasy|Mystery|Sci-Fi,1995,0,1,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0
31,Dangerous Minds,Drama,1995,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
32,Twelve Monkeys (a.k.a. 12 Monkeys),Mystery|Sci-Fi|Thriller,1995,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0
34,Babe,Children|Drama,1995,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
36,Dead Man Walking,Crime|Drama,1995,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
39,Clueless,Comedy|Romance,1995,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
44,Mortal Kombat,Action|Adventure|Fantasy,1995,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
45,To Die For,Comedy|Drama|Thriller,1995,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0
47,Seven (a.k.a. Se7en),Mystery|Thriller,1995,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
48,Pocahontas,Animation|Children|Drama|Musical|Romance,1995,0,0,1,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0
50,"Usual Suspects, The",Crime|Mystery|Thriller,1995,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0
52,Mighty Aphrodite,Comedy|Drama|Romance,1995,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0
58,"Postman, The (Postino, Il)",Comedy|Drama|Romance,1994,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0
62,Mr. Holland's Opus,Drama,1995,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
70,From Dusk Till Dawn,Action|Comedy|Horror|Thriller,1996,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0
95,Broken Arrow,Action|Adventure|Thriller,1996,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
104,Happy Gilmore,Comedy,1996,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
105,"Bridges of Madison County, The",Drama|Romance,1995,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
107,Muppet Treasure Island,Adventure|Children|Comedy|Musical,1996,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
110,Braveheart,Action|Drama|War,1995,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
111,Taxi Driver,Crime|Drama|Thriller,1976,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0
112,Rumble in the Bronx (Hont faan kui),Action|Adventure|Comedy|Crime,1995,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
135,Down Periscope,Comedy,1996,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
141,"Birdcage, The",Comedy,1996,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
145,Bad Boys,Action|Comedy|Crime|Drama|Thriller,1995,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0
150,Apollo 13,Adventure|Drama,1995,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
151,Rob Roy,Action|Drama|Romance|War,1995,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0
153,Batman Forever,Action|Adventure|Comedy|Crime,1995,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
158,Casper,Adventure|Children,1995,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
160,Congo,Action|Adventure|Mystery|Sci-Fi,1995,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
161,Crimson Tide,Drama|Thriller|War,1995,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0
163,Desperado,Action|Romance|Western,1995,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
165,Die Hard: With a Vengeance,Action|Crime|Thriller,1995,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
168,First Knight,Action|Drama|Romance,1995,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
170,Hackers,Action|Adventure|Crime|Thriller,1995,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
172,Johnny Mnemonic,Action|Sci-Fi|Thriller,1995,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
173,Judge Dredd,Action|Crime|Sci-Fi,1995,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
180,Mallrats,Comedy|Romance,1995,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
185,"Net, The",Action|Crime|Thriller,1995,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
186,Nine Months,Comedy|Romance,1995,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
193,Showgirls,Drama,1995,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
196,Species,Horror|Sci-Fi,1995,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
198,Strange Days,Action|Crime|Drama|Mystery|Sci-Fi|Thriller,1995,1,0,0,0,0,1,0,1,0,0,0,0,1,0,1,1,0,0
204,Under Siege 2: Dark Territory,Action,1995,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
208,Waterworld,Action|Adventure|Sci-Fi,1995,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
216,Billy Madison,Comedy,1995,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
223,Clerks,Comedy,1994,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
224,Don Juan DeMarco,Comedy|Drama|Romance,1995,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0
225,Disclosure,Drama|Thriller,1994,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
231,Dumb & Dumber (Dumb and Dumber),Adventure|Comedy,1994,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
235,Ed Wood,Comedy|Drama,1994,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
236,French Kiss,Action|Comedy|Romance,1995,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
246,Hoop Dreams,Documentary,1994,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
247,Heavenly Creatures,Crime|Drama,1994,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
252,I.Q.,Comedy|Romance,1994,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
253,Interview with the Vampire: The Vampire Chronicles,Drama|Horror,1994,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
256,Junior,Comedy|Sci-Fi,1994,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
260,Star Wars: Episode IV - A New Hope,Action|Adventure|Sci-Fi,1977,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
261,Little Women,Drama,1994,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
265,Like Water for Chocolate (Como agua para chocolate),Drama|Fantasy|Romance,1992,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0
266,Legends of the Fall,Drama|Romance|War|Western,1994,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1
272,"Madness of King George, The",Comedy|Drama,1994,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
273,Mary Shelley's Frankenstein (Frankenstein),Drama|Horror|Sci-Fi,1994,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0
277,Miracle on 34th Street,Drama,1994,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
282,Nell,Drama,1994,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
288,Natural Born Killers,Action|Crime|Thriller,1994,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
292,Outbreak,Action|Drama|Sci-Fi|Thriller,1995,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0
293,Léon: The Professional (a.k.a. The Professional) (Léon),Action|Crime|Drama|Thriller,1994,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0
296,Pulp Fiction,Comedy|Crime|Drama|Thriller,1994,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0
300,Quiz Show,Drama,1994,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
303,"Quick and the Dead, The",Action|Thriller|Western,1995,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
306,Three Colors: Red (Trois couleurs: Rouge),Drama,1994,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
315,"Specialist, The",Action|Drama|Thriller,1994,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
316,Stargate,Action|Adventure|Sci-Fi,1994,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
317,"Santa Clause, The",Comedy|Drama|Fantasy,1994,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0
318,"Shawshank Redemption, The",Crime|Drama,1994,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
319,Shallow Grave,Comedy|Drama|Thriller,1994,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0
327,Tank Girl,Action|Comedy|Sci-Fi,1995,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
329,Star Trek: Generations,Adventure|Drama|Sci-Fi,1994,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
333,Tommy Boy,Comedy,1995,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
337,What's Eating Gilbert Grape,Drama,1993,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
339,While You Were Sleeping,Comedy|Romance,1995,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
342,Muriel's Wedding,Comedy,1994,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
344,Ace Ventura: Pet Detective,Comedy,1994,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
345,"Adventures of Priscilla, Queen of the Desert, The",Comedy|Drama,1994,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
349,Clear and Present Danger,Action|Crime|Drama|Thriller,1994,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0
350,"Client, The",Drama|Mystery|Thriller,1994,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0
353,"Crow, The",Action|Crime|Fantasy|Thriller,1994,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0
355,"Flintstones, The",Children|Comedy|Fantasy,1994,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0
356,Forrest Gump,Comedy|Drama|Romance|War,1994,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0
357,Four Weddings and a Funeral,Comedy|Romance,1994,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
364,"Lion King, The",Adventure|Animation|Children|Drama|Musical,1994,0,1,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0
367,"Mask, The",Action|Comedy|Crime|Fantasy,1994,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0
368,Maverick,Adventure|Comedy|Western,1994,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
370,Naked Gun 33 1/3: The Final Insult,Action|Comedy,1994,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
376,"River Wild, The",Action|Thriller,1994,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
377,Speed,Action|Romance|Thriller,1994,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
380,True Lies,Action|Adventure|Comedy|Romance|Thriller,1994,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0
383,Wyatt Earp,Western,1994,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
410,Addams Family Values,Children|Comedy|Fantasy,1993,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0
420,Beverly Hills Cop III,Action|Comedy|Crime|Thriller,1994,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0
