artist,track_name,album_name,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,clusters_km,clusters_agg,clusters_ms
Tycho,Awake,Awake,0.0585,0.552,0.877,0.899,0.0746,-5.765,0.0353,176.05,0.597,2,6,0
Lana Del Rey,Brooklyn Baby,Ultraviolence (Deluxe),0.542,0.404,0.664,0.00402,0.11,-6.698,0.0407,107.747,0.0949,3,3,0
Lana Del Rey,Video Games,Born To Die - The Paradise Edition,0.811,0.236,0.249,1e-06,0.087,-9.595,0.0348,72.847,0.181,1,3,1
Lana Del Rey,Young And Beautiful,Young And Beautiful,0.262,0.324,0.416,3.69e-05,0.11,-8.92,0.0368,113.986,0.151,3,3,0
Lana Del Rey,West Coast,Ultraviolence (Deluxe),0.194,0.527,0.591,0.0194,0.0907,-7.664,0.0396,123.167,0.461,3,1,0
Taylor Swift,Snow On The Beach (feat. Lana Del Rey),Midnights,0.69,0.663,0.319,0.000993,0.117,-13.481,0.0375,109.957,0.193,3,1,0
Lana Del Rey,Summertime Sadness,Born To Die - The Paradise Edition,0.0542,0.565,0.654,1.8e-06,0.122,-6.826,0.0335,111.968,0.235,2,1,0
Noah Slee,Told,Otherland,0.475,0.868,0.815,0.000109,0.242,-5.351,0.121,111.987,0.939,0,5,0
Noah Slee,Can't Let Go,To Your Inner Hippie & Cos You Fly as Fuck,0.418,0.446,0.528,0.0,0.177,-6.855,0.0721,75.471,0.193,3,3,0
GOVI,WYDWM,WYDWM,0.00342,0.827,0.607,3.41e-05,0.0961,-8.9,0.0781,115.982,0.354,0,1,0
GOVI,Jungle,Blue Hour,0.549,0.863,0.536,0.838,0.101,-12.174,0.209,114.977,0.672,5,2,0
GOVI,Feel This Way,Blue Hour,0.204,0.926,0.581,0.661,0.117,-9.11,0.118,116.026,0.718,5,2,0
Noah Slee,Stayed,Otherland,0.771,0.368,0.286,0.484,0.154,-12.173,0.0369,126.751,0.0867,1,3,1
Noah Slee,DGAF,Otherland,0.308,0.802,0.529,0.000232,0.071,-7.39,0.0589,134.129,0.224,3,1,0
Noah Slee,Radar,Otherland,0.0452,0.731,0.579,2.64e-06,0.149,-6.832,0.257,110.117,0.53,4,0,0
Noah Slee,Lips,Otherland,0.673,0.512,0.423,3.46e-05,0.141,-10.383,0.0571,78.413,0.234,3,1,0
YUNGBLUD,parents,weird!,0.013,0.612,0.824,0.0,0.288,-4.758,0.0478,82.017,0.586,0,5,0
Inhaler,It Won't Always Be Like This,It Won't Always Be Like This,0.000241,0.518,0.895,5.28e-05,0.0702,-4.735,0.0459,127.965,0.278,2,6,0
Dub Pistols,Party's On,Crazy Diamonds,0.0294,0.87,0.877,1.23e-06,0.0869,-4.687,0.149,113.017,0.89,0,5,0
The Hempolics,Early In The Morning - Radio Edit,Early In The Morning,0.00979,0.652,0.597,0.000219,0.282,-5.628,0.0336,132.602,0.344,0,1,0
Nothing But Thieves,Trip Switch,Nothing But Thieves (Track by Track),0.0197,0.65,0.807,0.00611,0.094,-4.157,0.0698,88.475,0.77,0,5,0
The Kooks,Bad Habit,Listen (Deluxe),0.051,0.733,0.882,9.92e-06,0.131,-4.199,0.0389,123.071,0.854,0,5,0
Portugal. The Man,Dummy,Dummy,0.0139,0.747,0.649,0.00333,0.115,-5.807,0.0419,91.05,0.774,0,5,0
Cassia,Right There,Why You Lacking Energy?,0.383,0.895,0.49,5.69e-06,0.0661,-8.458,0.0451,115.07,0.781,0,1,0
Daily J,Skylah,Venus Ate Mars,0.0105,0.61,0.747,0.0,0.105,-6.248,0.0274,123.991,0.691,0,5,0
Lime Cordiale,Money,14 Steps To A Better You,0.163,0.646,0.585,0.293,0.406,-9.148,0.0336,110.058,0.412,6,1,0
49th & Main,Up To Something,Must Be Nice,0.00156,0.793,0.513,0.00974,0.0898,-5.72,0.0331,111.995,0.695,0,5,0
Kid Francescoli,Nopalitos,Nopalitos,0.0774,0.607,0.583,0.849,0.116,-8.928,0.0321,125.005,0.166,5,2,0
L'Impératrice,Voodoo? - Lazywax Remix,Voodoo? (Lazywax Remix),0.201,0.806,0.644,0.0205,0.0443,-8.527,0.0853,117.004,0.881,0,5,0
NEIL FRANCES,Show Me the Right,Show Me the Right,0.224,0.684,0.805,0.396,0.0794,-7.512,0.0656,90.04,0.691,0,2,0
LEISURE,Summer Season,Summer Season,0.648,0.696,0.641,0.0012,0.255,-6.17,0.0445,92.003,0.422,3,1,0
ODESZA,Hopeful,Hopeful,0.0854,0.34,0.823,0.668,0.141,-7.181,0.0455,119.972,0.0389,2,2,0
Michael Bruner,Don't Care,One for Trouble,0.0895,0.703,0.469,0.0,0.0601,-8.317,0.0762,90.008,0.379,3,1,0
Skeleten,Walking On Your Name,Walking On Your Name,0.528,0.802,0.778,0.598,0.111,-11.463,0.0449,105.021,0.889,5,2,0
Blue Hawaii,I Felt Love,Under 1 House,0.156,0.79,0.684,0.0829,0.0743,-7.748,0.0588,132.99,0.576,0,5,0
Flabaire,Sweet Spot,It's Just A Silly Phase I'm Going Through,0.0528,0.51,0.456,0.896,0.0494,-11.542,0.168,123.886,0.404,5,2,0
KASPERG,Deep Blue,Deep Blue,0.746,0.806,0.427,0.767,0.105,-13.703,0.0679,116.03,0.296,3,3,0
Ordnry Yngstr,Seek,Playground,0.43,0.762,0.092,0.668,0.107,-18.772,0.137,129.97,0.138,1,3,1
Jaydonclover,Secondsin,Secondsin,0.708,0.666,0.48,0.0514,0.127,-8.218,0.0864,140.029,0.199,3,1,0
