artist,track_name,album_name,popularity,release_date,duration_ms,acousticness,danceability,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence
Tycho,Awake,Awake,56,2014-03-18,283636,0.0585,0.552,0.877,0.899,1,0.0746,-5.765,1,0.0353,176.05,4,0.597
Lana Del Rey,Brooklyn Baby,Ultraviolence (Deluxe),80,2014-01-01,351640,0.542,0.404,0.664,0.00402,1,0.11,-6.698,1,0.0407,107.747,4,0.0949
Lana Del Rey,Video Games,Born To Die - The Paradise Edition,75,2012-01-01,281960,0.811,0.236,0.249,1e-06,6,0.087,-9.595,0,0.0348,72.847,5,0.181
Lana Del Rey,Young And Beautiful,Young And Beautiful,81,2013-01-01,236053,0.262,0.324,0.416,3.69e-05,11,0.11,-8.92,0,0.0368,113.986,4,0.151
Lana Del Rey,West Coast,Ultraviolence (Deluxe),81,2014-01-01,256760,0.194,0.527,0.591,0.0194,6,0.0907,-7.664,0,0.0396,123.167,4,0.461
Taylor Swift,Snow On The Beach (feat. Lana Del Rey),Midnights,80,2022-10-21,256124,0.69,0.663,0.319,0.000993,9,0.117,-13.481,1,0.0375,109.957,4,0.193
Lana Del Rey,Summertime Sadness,Born To Die - The Paradise Edition,82,2012-01-01,265427,0.0542,0.565,0.654,1.8e-06,1,0.122,-6.826,0,0.0335,111.968,4,0.235
Noah Slee,Told,Otherland,17,2017-08-25,232571,0.475,0.868,0.815,0.000109,4,0.242,-5.351,0,0.121,111.987,4,0.939
Noah Slee,Can't Let Go,To Your Inner Hippie & Cos You Fly as Fuck,0,2016-03-16,224873,0.418,0.446,0.528,0.0,5,0.177,-6.855,0,0.0721,75.471,4,0.193
GOVI,WYDWM,WYDWM,23,2018-03-01,220301,0.00342,0.827,0.607,3.41e-05,8,0.0961,-8.9,0,0.0781,115.982,4,0.354
GOVI,Jungle,Blue Hour,9,2019-05-10,206010,0.549,0.863,0.536,0.838,9,0.101,-12.174,1,0.209,114.977,4,0.672
GOVI,Feel This Way,Blue Hour,7,2019-05-10,188208,0.204,0.926,0.581,0.661,0,0.117,-9.11,0,0.118,116.026,4,0.718
Noah Slee,Stayed,Otherland,8,2017-08-25,201409,0.771,0.368,0.286,0.484,10,0.154,-12.173,1,0.0369,126.751,4,0.0867
Noah Slee,DGAF,Otherland,33,2017-08-25,196696,0.308,0.802,0.529,0.000232,9,0.071,-7.39,0,0.0589,134.129,4,0.224
Noah Slee,Radar,Otherland,19,2017-08-25,190496,0.0452,0.731,0.579,2.64e-06,9,0.149,-6.832,0,0.257,110.117,4,0.53
Noah Slee,Lips,Otherland,26,2017-08-25,218360,0.673,0.512,0.423,3.46e-05,7,0.141,-10.383,0,0.0571,78.413,4,0.234
YUNGBLUD,parents,weird!,67,2020-12-04,171880,0.013,0.612,0.824,0.0,7,0.288,-4.758,1,0.0478,82.017,4,0.586
Inhaler,It Won't Always Be Like This,It Won't Always Be Like This,53,2021-06-09,244906,0.000241,0.518,0.895,5.28e-05,1,0.0702,-4.735,0,0.0459,127.965,4,0.278
